OID_	year_of_aff	BA	Grids	agb	Afforest	Deforest	2020pnf	Disturb
4848833	2.003	0.574753693	730	8.3	2006	0	33	0
4848834	2.003	0.647616375	730	56.8	2013	0	-9999	0
4848835	2.003	0.668689732	730	71	2006	0	-9999	0
4848836	2.003	0.910404255	730	16.2	2006	0	2	0
4848837	2.004	0.604883793	730	54.5	2007	0	33	0
4848838	2.004	0.589138425	730	33.4	2006	0	2	0
4848839	2.004	0.565771884	730	49.3	2007	0	-9999	0
4848840	2.0049999	0.593049678	730	23.3	2008	0	33	0
4848843	2.0049999	0.518339727	730	73	2007	0	-9999	0
4848845	2.0049999	0.579169081	730	10.3	2008	0	-9999	0
4848847	2.0060001	0.515554627	730	5.1	2009	0	2	0
4848848	2.007	0.548841775	730	5.1	2010	0	-9999	0
4848849	2.01	0.55722394	730	25.5	2017	0	33	0
4848850	2.01	0.500625884	730	30	2013	0	2	0
4848851	2.01	0.653563834	730	2.3	2013	0	2	0
4848852	2.01	0.613622401	730	34.9	2013	0	-9999	0
4848853	2.01	0.829568295	730	4.6	2013	0	33	0
4848854	2.01	0.850348195	730	20.9	2013	0	33	0
4848855	2.01	0.767772849	730	22.2	2013	0	33	0
4848856	2.01	0.771406462	730	17.8	2013	0	33	0
4848857	2.01	0.641601581	730	13.1	2013	0	-9999	0
4848859	2.01	0.748989118	730	18.6	2013	0	2	0
4848860	2.01	0.563341694	730	15.1	2013	0	2	0
4848861	2.01	0.604494018	730	20.4	2013	0	2	0
4848862	2.01	0.790058015	730	83.4	2013	0	2	0
4848863	2.01	0.728032561	730	17.3	2013	0	2	0
4848864	2.01	0.557270704	730	2.5	2013	0	2	0
4848867	2.01	0.637150089	730	9.8	2013	0	-9999	0
4848868	2.01	0.575638866	730	12	2013	0	2	0
4848870	2.01	0.623016836	730	29.3	2013	0	-9999	0
4848871	2.01	0.554334719	730	20.4	2013	0	-9999	0
4848874	2.01	0.734059714	730	81.9	2013	0	2	0
4848875	2.01	0.574753693	730	15.4	2013	0	-9999	0
4848876	2.01	0.887386897	730	16.6	2013	0	2	0
4848880	2.014	0.701883959	730	11.1	2017	0	2	0
4848881	2.014	0.630750078	730	3.1	2017	0	2	0
4848882	2.014	0.616022291	730	11.6	2017	0	2	0
4848883	2.014	0.591301906	730	25	2017	0	-9999	0
4848884	2.014	0.543648643	730	29.2	2017	0	2	0
4848885	2.014	0.556597454	730	7.1	2017	0	2	0
4848886	2.014	0.613805395	730	21.5	2017	0	-9999	0
4848887	2.014	0.613945956	730	8.7	2017	0	-9999	0
4848888	2.014	0.625101225	730	7.3	2017	0	2	0
4848889	2.0149999	0.582257041	730	35.6	2018	0	-9999	0
4848890	2.0149999	0.517306215	730	8.4	2018	0	-9999	0
4848891	2.0160001	0.59589	730	23.9	2019	0	2	0
4848892	2.0160001	0.620821394	730	27.8	2019	0	33	0
4848893	2.0160001	0.556956345	730	5.9	2019	0	2	0
4848894	2.0160001	0.788377456	730	12.9	2019	0	2	0
4848895	2.0160001	0.54766886	730	18.7	2019	0	2	0
4848896	2.0160001	0.574932685	730	6.6	2019	0	-9999	0
4848897	2.0160001	0.657187032	730	12.7	2019	0	2	0
4848898	2.0160001	0.560195935	730	4.6	2003	0	-9999	0
4848899	1.989	0.531456003	730	48.1	1993	0	33	0
4848900	1.989	0.568146922	730	29	1992	0	33	0
4848901	1.994	0.556991176	730	29.7	1993	0	33	0
4848903	1.996	0.619601452	730	60.2	1999	0	33	0
4991113	1.987	0.582032763	730	26.8	1990	0	-9999	0
4991114	1.987	0.655650565	730	76	1990	0	33	0
4991118	1.989	0.768629983	730	72.4	1991	0	2	0
4991119	1.989	0.654138753	730	17	1992	0	-9999	0
4991120	1.989	0.703615398	730	52.3	1992	0	-9999	0
4991123	1.99	0.530069158	730	21.5	1993	0	-9999	0
4991124	1.99	0.520519837	730	53.4	1997	0	2	0
4991125	1.99	0.531522381	730	31.9	1997	0	2	0
4991127	1.99	0.556597454	730	42.9	1993	0	2	0
4991129	1.99	0.556597454	730	8.7	1993	0	2	0
4991138	1.991	0.516778858	730	37.7	1994	0	2	0
4991147	1.991	0.517150708	730	138.9	1997	0	2	0
4991148	1.991	0.781662708	730	226.2	1994	0	2	0
4991149	1.991	0.644386461	730	188.3	1994	0	2	0
4991150	1.991	0.870990773	730	166.4	1994	0	2	0
4991151	1.991	0.834440708	730	188.5	1994	0	2	0
4991152	1.991	0.524684624	730	85.7	1994	0	2	0
4991154	1.991	0.519599203	730	41.7	2003	0	2	0
4991155	1.994	0.516216158	730	57.1	1997	0	2	0
4991156	1.994	0.689030867	730	63.4	1997	0	2	0
4991158	1.994	0.511507848	730	12.2	1997	0	2	0
4991162	1.994	0.510767965	730	27.8	1997	0	2	0
4991164	1.994	0.758575413	730	48.5	1997	0	2	0
4991165	1.994	0.61558259	730	54.3	1997	0	2	0
4991166	1.994	0.617614488	730	93.7	1997	0	2	0
4991167	1.994	0.503926459	730	145.5	2004	0	2	0
4991168	1.994	0.522589609	730	49.1	1997	0	2	0
4991169	1.994	0.744011395	730	24.3	1997	0	2	0
4991170	1.994	0.571730299	730	106.3	1997	0	-9999	0
4991172	1.994	0.583524314	730	2.8	1997	0	2	0
4991173	1.994	0.500617507	730	14.7	1997	0	2	0
4991175	1.994	0.547655405	730	9.3	1997	0	2	0
4991176	1.994	0.508201029	730	3.7	2019	0	-9999	0
4991177	1.994	0.562214798	730	29.6	1997	0	-9999	0
4991178	1.994	0.520604154	730	84.7	1997	0	-9999	0
4991179	1.994	0.518542169	730	8	2002	0	2	0
4991180	1.994	0.556597454	730	47.3	2008	0	-9999	0
4991181	1.994	0.54218264	730	57.9	1997	0	2	0
4991183	1.994	0.819467894	730	102.5	1997	0	2	0
4991184	1.994	0.671784769	730	17.6	1997	0	2	0
4991186	1.994	0.683116259	730	85.8	1997	0	2	0
4991188	1.994	0.529755328	730	77.3	1997	0	2	0
4991189	1.994	0.554394583	730	27.7	1997	0	2	0
4991190	1.994	0.735572874	730	9.7	1997	0	33	0
4991191	1.994	0.680296888	730	65.1	1997	0	33	0
4991196	1.994	0.530369751	730	115.6	1997	0	2	0
4991197	1.994	0.808746808	730	17.3	1997	0	2	0
4991198	1.994	0.531021113	730	64.5	1997	0	2	0
4991199	1.994	0.860790073	730	73.1	1997	0	2	0
4991200	1.994	0.526791161	730	69.5	1997	0	2	0
4991201	1.994	0.510826461	730	54.8	1999	0	2	0
4991202	1.994	0.757798621	730	6.3	1997	0	-9999	0
4991203	1.994	0.817982464	730	8.1	1997	0	-9999	0
4991205	1.994	0.83976846	730	62	1997	0	2	0
4991206	1.994	0.555986194	730	69.4	1997	0	2	0
4991207	1.994	0.64443817	730	71.6	1997	0	2	0
4991209	1.994	0.563640991	730	39.4	1997	0	2	0
4991211	1.994	0.57347765	730	27.3	1997	0	2	0
4991212	1.994	0.55056501	730	31	1997	0	-9999	0
4991213	1.994	0.786308941	730	28.7	1997	0	2	0
4991214	1.994	0.542233681	730	38.5	1997	0	33	0
4991215	1.994	0.598753791	730	27	1997	0	2	0
4991216	1.994	0.585887904	730	4.9	1997	0	2	0
4991217	1.994	0.687208613	730	86.9	1997	0	2	0
4991219	1.994	0.817049606	730	21.2	1997	0	2	0
4991220	1.994	0.608087415	730	71.3	1997	0	2	0
4991223	1.994	0.534652624	730	40.5	1997	0	-9999	0
