OID_,VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90,PCT95,PCT100
91,92,19198.000000000000000,0.001394299509590,1,730,729,118.021148036000000,73.029438275100006,2265770.000000000000000,369,91,273,104,196,238,730
92,93,774.000000000000000,0.000056213554559,1,464,463,63.211886304899998,52.618578412200002,48926.000000000000000,131,40,4,50,111,168,464
93,94,685534.000000000000000,0.049788505052900,1,3328,3327,421.840940054999976,406.127560847999973,289186307.000000000000000,2318,132,1956,246,908,1231,3328
94,95,560942.000000000000000,0.040739720570300,1,3381,3380,368.564940760000013,387.988426667999988,206743555.000000000000000,2164,111,1466,177,808,1121,3381
95,96,7647922.000000000000000,0.555448166162000,1,4662,4661,1087.340876779999917,564.488425677999999,8315898213.000000000000000,4267,1348,4250,1078,1635,1994,4662
96,97,137966.000000000000000,0.010020102413800,1,3405,3404,822.441905977000033,410.757302130000028,113469020.000000000000000,1688,932,5,893,1331,1402,3405
97,98,1556.000000000000000,0.000113008127770,2,823,821,149.874035990000010,87.369179881799994,233204.000000000000000,284,180,2,143,254,288,823
98,99,516243.000000000000000,0.037493351480800,1,3756,3755,882.104067270999963,589.093280438999955,455380050.000000000000000,2655,64,2437,856,1614,1897,3756
99,100,3166.000000000000000,0.000229938131439,1,567,566,118.717624763000003,58.833704517800001,375860.000000000000000,241,91,1,113,188,214,567
100,101,2160490.000000000000000,0.156910623371000,1,3723,3722,485.164658017000022,393.430256884000016,1048193392.000000000000000,2540,118,2322,454,960,1223,3723
101,102,161363.000000000000000,0.011719364088200,1,2383,2382,323.628768676999982,295.052960720999977,52221709.000000000000000,1332,112,1093,177,672,849,2383
102,103,9197184.000000000000000,0.667966930972000,1,4755,4754,1194.076900490000071,670.015011619999996,10982144964.000000000000000,4446,1352,4622,1112,2010,2596,4755
103,104,64569.000000000000000,0.004689474165780,1,3279,3278,861.141104864999988,429.812528910000026,55603020.000000000000000,1621,1137,417,947,1357,1420,3279
104,105,3052.000000000000000,0.000221658615651,2,881,879,124.107798165000005,73.789549527000005,378777.000000000000000,306,81,2,112,224,253,881
105,106,234258.000000000000000,0.017013533415800,1,3236,3235,635.133237711999982,515.412693495999974,148785042.000000000000000,2090,96,1889,481,1374,1520,3236
106,107,1733.000000000000000,0.000125863165440,2,449,447,108.514137333999997,64.875338327899996,188055.000000000000000,198,87,18,98,177,221,449
107,108,172971.000000000000000,0.012562422151900,1,1768,1767,216.784131443999996,171.283590868999994,37497368.000000000000000,971,108,698,159,435,545,1768
108,109,377598.000000000000000,0.027423935109000,1,2485,2484,425.743772477999983,317.481610069999988,160759997.000000000000000,1603,97,2086,381,879,1043,2485
109,110,9210963.000000000000000,0.668967662972000,1,5326,5325,1107.921612869999990,616.574346825000021,10205024983.000000000000000,4370,1337,4359,1054,1719,2264,5326
110,111,237379.000000000000000,0.017240203317400,1,3876,3875,984.164639669000053,399.698180596999975,233620018.000000000000000,2022,1138,1592,1027,1421,1511,3876
111,112,86208.000000000000000,0.006261056991490,1,1286,1285,138.537850316000004,104.122079052000004,11943071.000000000000000,704,89,373,117,241,293,1286
112,113,156039.000000000000000,0.011332696175500,1,1243,1242,133.865065785000013,78.965120417600005,20888171.000000000000000,596,87,416,122,234,272,1243
113,114,1954.000000000000000,0.000141913805695,2,552,550,119.637154554999995,75.193267676600001,233771.000000000000000,269,97,6,99,218,265,552
114,115,162.000000000000000,0.000011765627698,11,274,263,112.401234568000007,47.128332790000002,18209.000000000000000,80,97,11,100,172,196,274
115,116,7952.000000000000000,0.000577532539861,1,824,823,171.057847081999995,145.860723906000004,1360252.000000000000000,523,76,4,122,394,523,824
116,117,3255255.000000000000000,0.236420483909000,1,5029,5028,1303.542775910000046,1019.797730200000046,4243364139.000000000000000,4776,233,4897,1020,2879,3465,5029
117,118,8923092.000000000000000,0.648060360434000,1,5161,5160,1378.722335819999898,828.833078860000001,12302466245.000000000000000,4737,1346,4897,1229,2605,3125,5161
118,119,309426.000000000000000,0.022472784667900,1,4032,4031,887.274614931999963,435.504218032999972,274545835.000000000000000,2120,892,1743,920,1398,1500,4032
